id	assigned_topic	topic_label	lang
eys0715340010	12	12_march_thirty_month_june	et
eys0715460027	2	2_beer_beer drink_drank_eating	et
eys0715690076	16	16_wolf_bear_anne_leg	et
eys0715960116	10	10_wheat_barley_rye_pea	et
eys0716160145	9	9_wedding_crows_crow_married	et
eys0716980268	16	16_wolf_bear_anne_leg	et
eys0716980269	15	15_bow_fall_sail_singing	et
eys0717540369	14	14_herd_dog_tail_turning	et
eys0717550372	12	12_march_thirty_month_june	et
eys0722820026	7	7_legs_calf_reed_nest	et
eys0722910041	14	14_herd_dog_tail_turning	et
eys0722920043	12	12_march_thirty_month_june	et
eys0723140094	13	13_bake_basket_bells_eggs	et
eys0723150096	0	0_servant_cat_wreath_horse	et
eys0805580059	13	13_bake_basket_bells_eggs	et
eys0805620068	9	9_wedding_crows_crow_married	et
eys0806100140	17	17_crooked_tavern_trembles_straight	et
eys0806530216	6	6_sparrow_cabbage_pea_chirp	et
eys0806880268	16	16_wolf_bear_anne_leg	et
eys0808150447	15	15_bow_fall_sail_singing	et
eys0808210454	5	5_matchmaker_vodka_melody_wedding	et
eys0808360479	14	14_herd_dog_tail_turning	et
eys080837480b	10	10_wheat_barley_rye_pea	et
eys0811530008	4	4_servants_thousand_soul_book	et
eys0811780054	3	3_oxen_gentlemen_peasants_plow	et
eys0909490011	10	10_wheat_barley_rye_pea	et
eys0910020091	12	12_march_thirty_month_june	et
eys0922830094	2	2_beer_beer drink_drank_eating	et
eys1022430016	0	0_servant_cat_wreath_horse	et
eys1022630061	3	3_oxen_gentlemen_peasants_plow	et
eys1022780086	10	10_wheat_barley_rye_pea	et
eys1022880100	12	12_march_thirty_month_june	et
eys1029050081	2	2_beer_beer drink_drank_eating	et
h10100180002	7	7_legs_calf_reed_nest	et
h10101990032	15	15_bow_fall_sail_singing	et
h10102020037	15	15_bow_fall_sail_singing	et
h10102450128	4	4_servants_thousand_soul_book	et
h10700370019	14	14_herd_dog_tail_turning	et
h10700600059	10	10_wheat_barley_rye_pea	et
h20102850423	7	7_legs_calf_reed_nest	et
h20102880426	15	15_bow_fall_sail_singing	et
h21109540011	2	2_beer_beer drink_drank_eating	et
h21300830027	14	14_herd_dog_tail_turning	et
h21301290022	13	13_bake_basket_bells_eggs	et
h21304900006	9	9_wedding_crows_crow_married	et
h21304960009	16	16_wolf_bear_anne_leg	et
h21306030003	5	5_matchmaker_vodka_melody_wedding	et
h21403410004	4	4_servants_thousand_soul_book	et
h22609160021	5	5_matchmaker_vodka_melody_wedding	et
h24000901036	12	12_march_thirty_month_june	et
h24607080020	16	16_wolf_bear_anne_leg	et
h25706320016	5	5_matchmaker_vodka_melody_wedding	et
h30101360004	5	5_matchmaker_vodka_melody_wedding	et
h30101400008	16	16_wolf_bear_anne_leg	et
h30400830001	9	9_wedding_crows_crow_married	et
h31708530008	10	10_wheat_barley_rye_pea	et
young_wedding_both_348	15	15_bow_fall_sail_singing	nl
young_wedding_both_349	15	15_bow_fall_sail_singing	nl
young_wedding_both_350	5	5_matchmaker_vodka_melody_wedding	nl
young_wedding_both_351	9	9_wedding_crows_crow_married	nl
young_wedding_both_352	4	4_servants_thousand_soul_book	nl
young_wedding_both_353	10	10_wheat_barley_rye_pea	nl
young_wedding_both_354	8	8_june_march_saint_day	nl
young_wedding_both_355	4	4_servants_thousand_soul_book	nl
young_wedding_both_356	7	7_legs_calf_reed_nest	nl
young_wedding_both_357	12	12_march_thirty_month_june	nl
young_wedding_both_358	14	14_herd_dog_tail_turning	nl
young_wedding_both_359	12	12_march_thirty_month_june	nl
young_wedding_both_360	15	15_bow_fall_sail_singing	nl
young_wedding_both_361	9	9_wedding_crows_crow_married	nl
young_wedding_both_362	15	15_bow_fall_sail_singing	nl
young_wedding_both_363	7	7_legs_calf_reed_nest	nl
young_wedding_both_364	9	9_wedding_crows_crow_married	nl
young_wedding_both_365	4	4_servants_thousand_soul_book	nl
young_wedding_both_366	9	9_wedding_crows_crow_married	nl
young_wedding_both_367	9	9_wedding_crows_crow_married	nl
young_wedding_both_368	7	7_legs_calf_reed_nest	nl
young_wedding_both_369	9	9_wedding_crows_crow_married	nl
young_wedding_both_370	8	8_june_march_saint_day	nl
young_wedding_both_371	9	9_wedding_crows_crow_married	nl
young_wedding_both_372	9	9_wedding_crows_crow_married	nl
