component,explained_variance_ratio,cumulative_variance
474,0.0004962843,0.83953893
475,0.00049419585,0.8400331
476,0.0004929858,0.8405261
477,0.000491425,0.84101754
478,0.00049026427,0.8415078
479,0.0004893532,0.84199715
480,0.00048793684,0.8424851
481,0.00048582838,0.8429709
482,0.00048475305,0.8434557
483,0.00048334285,0.843939
484,0.00048299765,0.844422
485,0.00048074906,0.84490275
486,0.00047972877,0.8453825
487,0.00047890248,0.84586143
488,0.00047652627,0.846338
489,0.00047517463,0.84681314
490,0.00047411252,0.84728724
491,0.00047325116,0.8477605
492,0.00047129538,0.8482318
493,0.00046995684,0.8487018
494,0.0004683672,0.84917015
495,0.00046754724,0.8496377
496,0.00046595855,0.8501036
497,0.00046473113,0.85056835
498,0.00046265824,0.851031
499,0.00046211202,0.8514931
500,0.00046088966,0.851954
501,0.0004601233,0.85241413
502,0.0004585097,0.85287267
503,0.00045746166,0.85333014
504,0.00045591278,0.85378605
505,0.0004536603,0.8542397
506,0.00045232617,0.85469204
507,0.00045093137,0.85514295
508,0.0004499762,0.8555929
509,0.00044866718,0.85604155
510,0.00044763935,0.8564892
511,0.00044612595,0.8569353
512,0.0004450655,0.8573804
513,0.00044274615,0.85782313
514,0.00044196047,0.8582651
515,0.00044148392,0.8587066
516,0.00044062108,0.8591472
517,0.00043891167,0.8595861
518,0.00043777958,0.8600239
519,0.0004368005,0.8604607
520,0.0004357582,0.86089647
521,0.0004352821,0.86133176
522,0.00043387603,0.8617656
523,0.00043324323,0.8621989
524,0.00043201481,0.8626309
525,0.00042999195,0.8630609
526,0.00042905303,0.8634899
527,0.00042702185,0.86391693
528,0.00042458097,0.8643415
529,0.00042413882,0.86476564
530,0.0004226447,0.8651883
531,0.0004205078,0.8656088
532,0.0004193451,0.86602813
533,0.00041808165,0.8664462
534,0.0004158078,0.866862
535,0.00041420897,0.8672762
536,0.00041333144,0.86768955
537,0.00041123587,0.86810076
538,0.00041046622,0.8685112
539,0.00041015568,0.86892134
540,0.0004085841,0.8693299
541,0.00040761888,0.86973757
542,0.00040743678,0.870145
543,0.00040507116,0.8705501
544,0.00040400896,0.8709541
545,0.00040310455,0.8713572
546,0.00040014088,0.8717573
547,0.0003988922,0.8721562
548,0.0003961716,0.8725524
549,0.00039596,0.87294835
550,0.0003946804,0.87334305
551,0.00039246652,0.8737355
552,0.00039132693,0.8741268
553,0.00038888265,0.87451565
554,0.0003878398,0.8749035
555,0.00038564176,0.87528914
556,0.00038412193,0.87567323
557,0.00038310364,0.8760563
558,0.00038109085,0.8764374
559,0.00037997597,0.8768174
560,0.00037863042,0.877196
561,0.00037713838,0.87757313
562,0.0003765077,0.87794966
563,0.0003758526,0.8783255
564,0.00037507716,0.8787006
565,0.00037350325,0.8790741
566,0.00037250176,0.8794466
567,0.00037171438,0.8798183
568,0.0003715542,0.8801899
569,0.00036859527,0.8805585
570,0.00036743522,0.88092595
571,0.00036658585,0.8812925
572,0.0003665162,0.88165903
573,0.00036442463,0.88202345
574,0.00036395795,0.8823874
575,0.00036267444,0.8827501
576,0.00036239024,0.8831125
577,0.00036193104,0.8834744
578,0.0003607354,0.88383514
579,0.00036032216,0.88419545
580,0.00035845092,0.8845539
581,0.000356657,0.8849106
582,0.0003562742,0.88526684
583,0.00035548725,0.8856223
584,0.00035499415,0.8859773
585,0.0003541511,0.8863315
586,0.0003524683,0.88668394
587,0.00035115727,0.8870351
588,0.00035070616,0.8873858
589,0.0003502705,0.8877361
590,0.00034924466,0.8880853
591,0.00034821886,0.8884335
592,0.0003470321,0.88878053
593,0.00034646384,0.889127
594,0.00034600662,0.889473
595,0.00034559888,0.8898186
596,0.00034322834,0.8901618
597,0.00034255764,0.89050436
598,0.0003421963,0.89084655
599,0.00034153904,0.8911881
600,0.00034149186,0.89152956
601,0.00034034916,0.8918699
602,0.00033923477,0.8922091
603,0.00033904306,0.89254814
604,0.00033877083,0.89288694
605,0.0003383902,0.8932253
606,0.0003370969,0.89356244
607,0.00033623457,0.89389867
608,0.0003346832,0.89423335
609,0.00033312748,0.8945665
610,0.00033281688,0.8948993
611,0.0003317495,0.89523107
612,0.00033065563,0.8955617
613,0.00033001215,0.8958917
614,0.0003290591,0.8962208
615,0.00032823498,0.89654905
616,0.0003266804,0.89687574
617,0.00032625964,0.897202
618,0.00032470762,0.89752674
619,0.00032368605,0.89785045
620,0.00032330715,0.89817375
621,0.00032206965,0.8984958
622,0.00032072834,0.8988165
623,0.00031992834,0.8991365
624,0.0003195229,0.899456
625,0.0003183734,0.8997744
626,0.0003175971,0.90009195
627,0.0003164906,0.90040845
628,0.0003144375,0.90072286
629,0.00031418423,0.90103704
630,0.00031211853,0.9013491
631,0.00031096156,0.9016601
632,0.00030962998,0.90196973
633,0.00030902386,0.9022788
634,0.0003080787,0.9025869
635,0.00030703493,0.9028939
636,0.0003049528,0.90319884
637,0.00030271322,0.9035016
638,0.00030171376,0.9038033
639,0.00030091332,0.9041042
640,0.0003005161,0.9044047
641,0.00029916444,0.90470386
642,0.00029813615,0.905002
643,0.0002973635,0.90529937
644,0.00029528103,0.90559465
645,0.00029467625,0.90588933
646,0.00029421484,0.90618354
647,0.00029231654,0.90647584
648,0.00029164724,0.9067675
649,0.0002895183,0.907057
650,0.00028901812,0.907346
651,0.00028853078,0.90763456
652,0.0002874344,0.90792197
653,0.00028625637,0.90820825
654,0.000285917,0.9084942
655,0.00028526984,0.90877944
656,0.00028501055,0.9090645
657,0.00028388918,0.90934837
658,0.00028298688,0.9096314
659,0.00028224246,0.9099136
660,0.00028203355,0.91019565
661,0.00028098692,0.9104766
662,0.00028043956,0.91075706
663,0.00027941196,0.9110365
664,0.00027877733,0.91131526
665,0.00027864092,0.9115939
666,0.00027794877,0.91187185
667,0.0002772481,0.9121491
668,0.00027690816,0.912426
669,0.00027571106,0.9127017
670,0.0002749146,0.9129766
671,0.00027429423,0.9132509
672,0.000273618,0.91352457
673,0.00027300965,0.91379756
674,0.00027246558,0.91407
675,0.00027238106,0.9143424
676,0.00027121618,0.9146136
677,0.00027021344,0.9148838
678,0.0002694458,0.91515326
679,0.00026925467,0.9154225
680,0.00026707785,0.9156896
681,0.00026660948,0.9159562
682,0.00026546343,0.9162217
683,0.00026497053,0.9164866
684,0.0002638345,0.91675043
685,0.0002634571,0.9170139
686,0.00026267895,0.91727656
687,0.00026172827,0.9175383
688,0.00026100164,0.9177993
689,0.00026027273,0.9180596
690,0.00025905936,0.9183186
691,0.00025881265,0.91857743
692,0.00025843532,0.9188359
693,0.00025777504,0.91909367
694,0.00025735484,0.91935104
695,0.00025562104,0.9196067
696,0.00025513163,0.9198618
697,0.00025429943,0.92011607
698,0.00025378208,0.92036986
699,0.00025330586,0.9206232
700,0.00025246892,0.92087567
701,0.0002512835,0.92112696
702,0.00025045624,0.9213774
703,0.0002498817,0.9216273
704,0.00024897003,0.92187625
705,0.00024798504,0.9221242
706,0.00024705182,0.92237127
707,0.00024478658,0.92261606
708,0.00024422296,0.92286026
709,0.00024311554,0.9231034
710,0.00024279126,0.92334616
711,0.00024229845,0.92358845
712,0.00024182802,0.9238303
713,0.00024079086,0.9240711
714,0.00023935457,0.92431045
715,0.00023907193,0.9245495
716,0.00023793097,0.92478746
717,0.000236973,0.92502445
718,0.00023671621,0.92526114
719,0.0002351046,0.9254962
720,0.00023487426,0.9257311
721,0.00023319744,0.9259643
722,0.00023271772,0.926197
723,0.00023220375,0.9264292
724,0.00022968123,0.92665887
725,0.00022899483,0.92688787
726,0.00022885767,0.92711675
727,0.00022786926,0.9273446
728,0.00022744153,0.9275721
729,0.00022655123,0.9277986
730,0.00022632816,0.92802495
731,0.00022504445,0.92825
732,0.00022446188,0.9284745
733,0.00022341155,0.9286979
734,0.00022246427,0.9289203
735,0.00022175338,0.92914206
736,0.0002213099,0.92936337
737,0.00022071741,0.9295841
738,0.00021959699,0.92980367
739,0.00021782515,0.93002146
740,0.00021762049,0.9302391
741,0.00021647353,0.93045557
742,0.00021611096,0.9306717
743,0.00021501869,0.9308867
744,0.0002142663,0.93110096
745,0.00021321273,0.9313142
746,0.00021254407,0.9315267
747,0.00021135288,0.9317381
748,0.00021072818,0.9319488
749,0.00021031742,0.9321591
750,0.00020941482,0.9323685
751,0.00020887153,0.9325774
752,0.0002078026,0.93278515
753,0.0002073715,0.9329925
754,0.00020670805,0.9331992
755,0.00020647013,0.9334057
756,0.00020565494,0.93361133
757,0.00020478433,0.93381613
758,0.0002044655,0.9340206
759,0.00020382353,0.9342244
760,0.00020314497,0.93442756
761,0.00020278007,0.93463033
762,0.00020214981,0.9348325
763,0.0002013958,0.9350339
764,0.0002007279,0.93523467
765,0.0002001426,0.9354348
766,0.00019973377,0.93563455
767,0.00019900648,0.9358336
768,0.00019821372,0.93603176
769,0.00019794979,0.9362297
770,0.00019710677,0.9364268
771,0.00019620068,0.93662304
772,0.00019605763,0.9368191
773,0.000195342,0.9370144
774,0.0001949164,0.9372093
775,0.00019474022,0.93740404
776,0.00019404202,0.93759805
777,0.0001934083,0.93779147
778,0.00019312793,0.9379846
779,0.00019208629,0.9381767
780,0.0001917308,0.93836844
781,0.0001905894,0.93855906
782,0.00019023685,0.9387493
783,0.00018996026,0.9389393
784,0.00018914718,0.9391284
785,0.00018882024,0.9393172
786,0.00018845957,0.9395057
787,0.00018803864,0.93969375
788,0.00018790658,0.9398817
789,0.00018714574,0.94006884
790,0.00018616971,0.940255
791,0.00018591524,0.9404409
792,0.00018558041,0.9406265
793,0.00018512674,0.94081163
794,0.00018474432,0.94099635
795,0.00018459815,0.94118094
796,0.00018396712,0.9413649
797,0.00018300046,0.9415479
798,0.00018241428,0.94173026
799,0.00018229919,0.94191253
800,0.00018146589,0.94209397
801,0.00018117757,0.94227517
802,0.00018086811,0.942456
803,0.00018079412,0.9426368
804,0.00018010326,0.9428169
805,0.00017944204,0.9429964
806,0.0001787714,0.94317514
807,0.00017828605,0.9433534
808,0.0001779246,0.94353133
809,0.0001776077,0.94370896
810,0.00017707016,0.94388604
811,0.00017673605,0.94406277
812,0.00017649324,0.94423926
813,0.0001759479,0.9444152
814,0.00017561775,0.9445908
815,0.00017509422,0.9447659
816,0.00017478233,0.9449407
817,0.00017442752,0.9451151
818,0.00017374495,0.94528884
819,0.00017325555,0.9454621
820,0.0001726423,0.9456347
821,0.00017215397,0.94580686
822,0.00017133092,0.94597816
823,0.00017080012,0.946149
824,0.00017062662,0.94631964
825,0.0001700385,0.9464897
826,0.00016983257,0.9466595
827,0.00016930095,0.9468288
828,0.00016840197,0.94699717
829,0.00016798594,0.94716513
830,0.0001678402,0.947333
831,0.00016743263,0.9475004
832,0.00016728815,0.9476677
833,0.00016672027,0.94783443
834,0.0001664493,0.9480009
835,0.00016588841,0.9481668
836,0.00016557623,0.94833237
837,0.00016533515,0.9484977
838,0.00016480783,0.9486625
839,0.00016428069,0.9488268
840,0.00016421019,0.948991
841,0.00016361098,0.9491546
842,0.00016317303,0.9493178
843,0.00016309948,0.9494809
844,0.00016182785,0.9496427
845,0.00016146454,0.9498042
846,0.00016133123,0.94996554
847,0.00016116044,0.9501267
