id	assigned_topic	topic_label	lang
muju-0704	0	0_fate_weaving_wind_song	ko
gn.goseong-0519	0	0_fate_weaving_wind_song	ko
geochang-0315	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
jinan-0603	21	21_young lad_stallions_crying young_village	ko
gangjin-0618	0	0_fate_weaving_wind_song	ko
gangjin-0716	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
yeocheon-0327	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
bonghwa-0311	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
gangjin-0312	11	11_sails_ashore_ship_weaving	ko
yeonggwang-0609	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
hapcheon-0516	0	0_fate_weaving_wind_song	ko
gangjin-0626	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
tongyeong-0304	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
